Unnamed: 0, Calories, Fat, Carb. (g), Fiber (g), Protein (g)
Chonga Bagel,300,5000.0 mg,50,3,12
8-Grain Roll,380,6000.0 mg,70,7,10
Almond Croissant,410,22000.0 mg,45,3,10
Apple Fritter,460,23000.0 mg,56,2,7
Banana Nut Bread,420,22000.0 mg,52,2,6
Blueberry Muffin with Yogurt and Honey,380,16000.0 mg,53,1,6
Blueberry Scone,420,17000.0 mg,61,2,5
Butter Croissant,240,12000.0 mg,28,1,5
Butterfly Cookie,350,22000.0 mg,38,0,2
Cheese Danish,320,16000.0 mg,36,1,8
Chewy Chocolate Cookie,170,5000.0 mg,30,2,2
Chocolate Chip Cookie,310,15000.0 mg,42,2,4
Chocolate Chunk Muffin,440,21000.0 mg,60,2,7
Chocolate Croissant,330,18000.0 mg,38,1,6
Chocolate Hazelnut Croissant,390,22000.0 mg,43,2,7
Chocolate Marble Loaf Cake,490,24000.0 mg,64,2,6
Cinnamon Morning Bun,390,15000.0 mg,56,2,8
Cinnamon Raisin Bagel,270,1000.0 mg,58,3,9
Classic Coffee Cake,390,16000.0 mg,57,1,5
Cookie Butter Bar,360,23000.0 mg,36,0,2
Cranberry Orange Scone,420,15000.0 mg,64,1,6
Devil's Food Doughnut,430,23000.0 mg,53,2,5
Double Chocolate Brownie,410,24000.0 mg,46,3,6
Double Chocolate Chunk Brownie,490,28000.0 mg,55,3,7
Double Chocolate Loaf Cake,440,23000.0 mg,54,3,5
Everybody's Favorite - Bantam Bagel (2 Pack),100,3500.0 mg,14,0,3
Everything Bagel with Cheese,290,3500.0 mg,53,2,11
Frappuccino® Cookie Straw,90,3000.0 mg,14,0,1
French Toast - Bantam Bagels (2 Pack),200,8000.0 mg,30,0,6
Gluten-Free Marshmallow Dream Bar,240,5000.0 mg,45,0,2
Ice Cream Cone Sugar Cookie,250,14000.0 mg,29,1,3
Iced Lemon Pound Cake,470,20000.0 mg,68,1,6
Michigan Cherry Oat Bar,310,10000.0 mg,47,2,3
Multigrain Bagel,350,4000.0 mg,64,8,17
Oatmeal Cookie,290,12000.0 mg,40,3,5
Octopus Cookie,330,18000.0 mg,39,1,3
Old-Fashioned Glazed Doughnut,480,27000.0 mg,56,1,5
Peanut butter cup cookie,360,21000.0 mg,36,3,8
Pecan Tart,330,18000.0 mg,39,1,4
Petite Vanilla Bean Scone,120,4500.0 mg,18,0,2
Plain Bagel,280,1500.0 mg,56,2,9
Pumpkin Bread,410,15000.0 mg,63,2,6
Raspberry Swirl Loaf Cake,420,17000.0 mg,61,1,6
Raspberry Whoopie Pie,360,18000.0 mg,45,1,3
Reduced-Fat Cinnamon Swirl Coffee Cake,370,9000.0 mg,67,2,5
S'mores Bar,330,17000.0 mg,44,1,2
S'mores Bar Multipack,330,17000.0 mg,44,1,2
Sprouted Grain Vegan Bagel,330,6000.0 mg,57,7,12
Strawberry Cake Pop,180,9000.0 mg,23,0,2
The Classic - Bantam Bagels (2 Pack),200,8000.0 mg,28,0,6
Toffeedoodle,300,13000.0 mg,44,1,3
Vanilla Bean Whoopie Pie,360,18000.0 mg,45,1,3
Vermont Maple Walnut Muffin,390,21000.0 mg,45,2,6
Volpi™ Pepperoni & Tomato Savory Foldover,270,14000.0 mg,27,2,10
Strawberries & Jam Sandwich,600,25000.0 mg,80,10,19
Burrata & Basil Pesto Small Sandwich,300,14000.0 mg,34,2,11
Cage-Free Eggs & Seasoned Grains Side Salad,360,18000.0 mg,33,3,17
Cauliflower Tabbouleh Side Salad,130,12000.0 mg,7,3,2
Cubano Sandwich,430,23000.0 mg,34,3,21
Farmers' Market Protein Box,470,29000.0 mg,29,4,21
Garden Greens & Shaved Parmesan Side Salad,170,13000.0 mg,9,2,7
Green Goddess Avocado Salad,620,37000.0 mg,62,10,13
Herbed Chicken & Fig Spread Small Sandwich,300,8000.0 mg,43,2,19
Honey BBQ Sriracha Chicken Sandwich,360,7000.0 mg,52,3,22
Roasted Carrot & Kale Side Salad,440,26000.0 mg,44,7,10
Roasted Turkey & Dill Havarti Sandwich,600,32000.0 mg,47,6,32
Seared Steak & Cheddar Sandwich,530,29000.0 mg,44,2,23
Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,350,18000.0 mg,31,1,16
Smoked Mozzarella & Roasted Pepper Sandwich,500,28000.0 mg,46,4,18
Turkey & Fire-Roasted Corn Salad,560,29000.0 mg,53,7,24
Za'atar Chicken & Lemon Tahini Salad,570,23000.0 mg,67,11,27
BBQ Chicken Protein Box,420,16000.0 mg,49,5,22
Cheese & Fruit Protein Box,450,27000.0 mg,34,4,20
Chicken Wrap Protein Box,460,22000.0 mg,45,4,20
Eggs & Cheese Protein Box,460,24000.0 mg,40,5,23
PB&J Protein Box,520,26000.0 mg,53,5,20
Smoked Turkey Protein Box,360,12000.0 mg,42,5,24
Birthday Cake Pop,170,9000.0 mg,23,0,1
Chocolate Cake Pop,160,8000.0 mg,23,1,2
Chocolate Chip Cookie Dough Cake Pop,180,9000.0 mg,23,0,2
Pirate Cake Pop,180,9000.0 mg,24,0,1
Bacon Gouda & Egg Breakfast Sandwich,370,19000.0 mg,32,1,18
Certified Gluten-Free Breakfast Sandwich,280,13000.0 mg,18,6,18
Classic Whole-Grain Oatmeal,160,2500.0 mg,28,4,5
Double-Smoked Bacon Cheddar & Egg Sandwich,490,27000.0 mg,40,1,21
Ham & Cheese Croissant,320,17000.0 mg,28,1,14
Hearty Blueberry Oatmeal,220,2500.0 mg,43,5,5
Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,230,6000.0 mg,28,2,16
Sausage Cheddar & Egg Breakfast Sandwich,500,28000.0 mg,41,1,15
Seared Steak Egg & Tomatillo Wrap,410,18000.0 mg,43,2,21
Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,450,23000.0 mg,42,1,24
Sous Vide Egg Bites: Bacon & Gruyere,310,22000.0 mg,9,0,19
Sous Vide Egg Bites: Egg White & Red Pepper,170,7000.0 mg,13,1,13
Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,500,30000.0 mg,35,3,26
Spinach Feta & Cage Free Egg White Breakfast Wrap,290,10000.0 mg,33,6,19
Ancho Chipotle Chicken Panini ,500,19000.0 mg,57,4,26
Chicken & Quinoa Protein Bowl with Black Beans and Greens,420,17000.0 mg,42,9,27
Chicken Artichoke on Ancient Grain Flatbread,510,27000.0 mg,37,5,24
Chicken BLT Salad Sandwich,470,25000.0 mg,35,3,21
Egg Salad Sandwich,480,27000.0 mg,42,7,16
Homestyle Chicken & Double-Smoked Bacon,480,17000.0 mg,57,3,23
Italian-Style Ham & Spicy Salami,480,20000.0 mg,49,3,22
Lentils & Vegetable Protein Bowl with Brown Rice,650,29000.0 mg,80,21,23
Roasted Tomato & Mozzarella Panini,420,18000.0 mg,47,3,11
Turkey & Havarti Sandwich,460,21000.0 mg,31,2,29
Turkey Pesto Panini,560,23000.0 mg,55,3,34
Berry Trio Yogurt,240,2500.0 mg,39,3,14
Fresh Blueberries and Honey Greek Yogurt Parfait,240,2500.0 mg,42,2,14
Justin's Chocolate Hazelnut Butter,180,14000.0 mg,12,3,4
Justin's Classic Almond Butter,190,18000.0 mg,6,3,7
Lemon Chiffon Yogurt,340,13000.0 mg,38,0,18
Organic Avocado (Spread),90,8000.0 mg,5,4,1
Seasonal Fruit Blend,90,0.0 mg,24,4,1
